t,X_conc,X,P_ccc,ccc_percent,feed,starvation,experiment
4,17.8,10.14,167.67,98.7,lin,growth,c1
15,34.8,25,1314.44,95.8,lin,growth,c1
19,38.2,29.59,1710.35,93.8,lin,growth,c1
23,40.6,33.69,1962.3,92.2,lin,growth,c1
27,42.1,37.22,2134.08,89.8,lin,growth,c1
31,43,40.36,2155.48,88.3,lin,growth,c1
35,43,42.67,1798.5,86.5,lin,growth,c1
4,18.2,10.35,167.47,100,lin,growth,s1
15,35.7,25.92,1275.31,95.7,lin,growth,s1
19,39,30.41,1707.3,93.4,lin,growth,s1
23,40.8,33.98,1849.3,91.2,lin,growth,s1
27,39.3,34.43,2141.67,89.2,lin,starvation,s1
31,36.8,33.89,2331.88,90.8,lin,starvation,s1
35,33.2,32.37,1944.48,91.2,lin,starvation,s1
4,18.1,10.29,222.6,97.8,lin,growth,s2
15,36.5,26.5,1532.31,94.8,lin,growth,s2
19,38.8,30.25,1875.53,93.2,lin,growth,s2
23,40.6,33.81,2134.36,92.4,lin,growth,s2
27,40.7,35.65,2301.12,89.9,lin,starvation,s2
31,39.1,36.01,2467.85,90.9,lin,starvation,s2
35,35.1,34.22,2269.88,91.4,lin,starvation,s2
4,18.3,10.4,233.09,97.1,lin,growth,s3
15,36.8,26.72,1476.43,94.3,lin,growth,s3
19,39.4,30.72,2000.71,93.1,lin,growth,s3
23,40.7,33.9,2260.05,90.5,lin,growth,s3
27,40.7,35.65,2381.9,89.2,lin,starvation,s3
31,38.6,35.55,2627.79,90.9,lin,starvation,s3
35,35.1,34.22,2268.79,91.6,lin,starvation,s3
4,17.4,9.92,221.97,97.9,lin,growth,c2
15,35.7,25.94,1396.09,94.3,lin,growth,c2
19,39.1,30.5,1991.01,93.2,lin,growth,c2
23,41.4,34.5,2081.58,92.3,lin,growth,c2
27,44,38.63,2173.36,89,lin,growth,c2
31,44.8,41.35,2212.4,87.4,lin,growth,c2
35,45.4,43.89,2147.57,85.3,lin,growth,c2
4,18,10.26,221.57,98.2,lin,growth,c3
15,35.5,25.79,1425.29,94.8,lin,growth,c3
19,39.2,30.58,1850.08,93.1,lin,growth,c3
23,41.6,34.67,2108.57,91,lin,growth,c3
27,43.8,38.45,2244.62,89.3,lin,growth,c3
31,44.9,41.44,2291.9,87.8,lin,growth,c3
35,45.7,44.18,2127.19,86.4,lin,growth,c3
7,8.4,4.36,168.76,93.624606421245,exp,growth,exp_23
15,16.1,8.89,375.98,92.450041708835,exp,growth,exp_23
